GL_ID,date,year,month,LST_Day_C,LST_Night_C,LST_Scan_Count
GL086613E27789N,2016-12,2016,12,2.1070294689371227,-9.447211803125692,4
GL086613E27789N,2017-01,2017,1,-6.660388227976023,-17.179889433170022,4
GL086613E27789N,2017-02,2017,2,0.0603216701656457,-12.632092139024929,4
GL086613E27789N,2017-03,2017,3,0.8568645517456168,-12.273192442267288,4
GL086613E27789N,2017-04,2017,4,5.4107091205971845,-7.38984915636417,3
GL086613E27789N,2017-05,2017,5,4.167543814633419,-5.496810823419609,4
GL086613E27789N,2017-06,2017,6,4.69145291967968,-4.578567840758855,4
GL086613E27789N,2017-07,2017,7,-0.7130667910737609,-7.098482466371172,4
GL086613E27789N,2017-08,2017,8,-1.8560785994317464,-4.019207293367517,4
GL086613E27789N,2017-09,2017,9,4.785696446621599,-2.122788896664305,4
GL086613E27789N,2017-10,2017,10,6.140456107612187,-6.46274924189407,3
GL086613E27789N,2017-11,2017,11,2.182593344218984,-10.104436902262629,4
GL086613E27789N,2017-12,2017,12,1.3943855065702793,-10.180761604851854,4
GL086613E27789N,2018-01,2018,1,0.9621985848690136,-11.387202705854884,4
GL086613E27789N,2018-02,2018,2,1.03246847056997,-13.295160718451102,4
GL086613E27789N,2018-03,2018,3,4.248102013840321,-12.066457895964506,4
GL086613E27789N,2018-04,2018,4,4.134055361169455,-10.2048912215224,3
GL086613E27789N,2018-05,2018,5,5.159834072000649,-5.48458308063134,4
GL086613E27789N,2018-06,2018,6,1.3387790679453713,-3.3383879169582182,4
GL086613E27789N,2018-07,2018,7,0.1808889666433676,-5.6817266920891685,4
GL086613E27789N,2018-08,2018,8,-0.5061247181400845,-7.401959723194127,4
GL086613E27789N,2018-09,2018,9,4.548793795194802,-3.200669465826892,4
GL086613E27789N,2018-10,2018,10,6.032439623668484,-8.584829017961248,3
GL086613E27789N,2018-11,2018,11,3.217531607184539,-9.619635875903866,4
GL086613E27789N,2018-12,2018,12,-3.385984449109685,-15.286787030557464,4
GL086613E27789N,2019-01,2019,1,-8.45828714718915,-18.74848682062045,4
GL086613E27789N,2019-02,2019,2,-8.802760516289524,-18.058589223233,4
GL086613E27789N,2019-03,2019,3,-0.564456885156647,-12.98333963144387,4
GL086613E27789N,2019-04,2019,4,1.8718245859575744,-9.510117875748357,3
GL086613E27789N,2019-05,2019,5,7.672950081642202,-5.047661301609489,4
GL086613E27789N,2019-06,2019,6,7.135451520099554,-2.655502915791902,4
GL086613E27789N,2019-07,2019,7,1.7878542104035753,-4.696618847679001,4
GL086613E27789N,2019-08,2019,8,4.138059326646477,-5.653137081097867,4
GL086613E27789N,2019-09,2019,9,0.5491719928466183,-6.062679496151125,4
GL086613E27789N,2019-10,2019,10,3.021200995257007,-7.615131482777356,3
GL086613E27789N,2019-11,2019,11,2.357795428038284,-8.842898530440843,4
GL086613E27789N,2019-12,2019,12,-4.903655547780083,-15.632343363657537,4
GL086613E27789N,2020-01,2020,1,-10.491780499183546,-19.06861674830881,4
GL086613E27789N,2020-02,2020,2,-4.945217401446203,-16.068315372055018,4
GL086613E27789N,2020-03,2020,3,-1.0815024492651937,-14.880553533939793,4
GL086613E27789N,2020-04,2020,4,0.8654710364668668,-10.813710753440606,4
GL086613E27789N,2020-05,2020,5,2.738546924811473,-5.679152009952537,3
GL086613E27789N,2020-06,2020,6,0.0187795661301893,-4.10701492885465,4
GL086613E27789N,2020-07,2020,7,-2.0031778244304217,-2.7695498794805724,4
GL086613E27789N,2020-08,2020,8,4.123890521732398,-2.6830737889743888,4
GL086613E27789N,2020-09,2020,9,1.9843593033201423,-2.9945327735012546,4
GL086613E27789N,2020-10,2020,10,6.378992768836039,-6.063139491485857,4
GL086613E27789N,2020-11,2020,11,2.4784872093927643,-10.570901018583283,3
GL086613E27789N,2020-12,2020,12,0.3880838970531358,-11.30675833916489,4
GL086613E27789N,2021-01,2021,1,1.0911726148822305,-11.26501679496148,4
GL086613E27789N,2021-02,2021,2,-1.3738018039032447,-14.500060881735454,4
GL086613E27789N,2021-03,2021,3,3.150324469325897,-11.822165383718188,4
GL086613E27789N,2021-04,2021,4,4.445254801337405,-10.460490319570765,3
GL086613E27789N,2021-05,2021,5,1.8899203016873003,-8.006163051084645,4
GL086613E27789N,2021-06,2021,6,1.353940440090222,-5.557949770624344,4
GL086613E27789N,2021-07,2021,7,-1.2766745976206857,-6.413090523227657,4
GL086613E27789N,2021-08,2021,8,-1.5096213504361258,-3.5945928776922247,4
GL086613E27789N,2021-09,2021,9,3.260572661534904,-3.529860041987375,4
GL086613E27789N,2021-10,2021,10,3.167414975507374,-6.318613638130757,3
GL086613E27789N,2021-11,2021,11,2.3777394448332445,-8.959342197340773,4
GL086613E27789N,2021-12,2021,12,-3.707193841847416,-16.081296244459967,4
GL086613E27789N,2022-01,2022,1,-12.127891143767954,-19.4934952181012,4
GL086613E27789N,2022-02,2022,2,-7.295970764326229,-17.918105435036132,4
GL086613E27789N,2022-03,2022,3,4.966601352927484,-7.863660368556075,4
GL086613E27789N,2022-04,2022,4,9.0493084519089,-6.554949537360982,3
GL086613E27789N,2022-05,2022,5,2.576211336599048,-4.656820387217139,4
GL086613E27789N,2022-06,2022,6,3.45789557577174,-2.857015006609098,4
GL086613E27789N,2022-07,2022,7,3.0563903273462683,-3.4417736567918245,4
GL086613E27789N,2022-08,2022,8,3.55460010885626,-1.0949267553067146,4
GL086613E27789N,2022-09,2022,9,1.5237444988725886,-6.012305886011945,4
GL086613E27789N,2022-10,2022,10,1.468800559832081,-6.082788896664306,3
GL086613E27789N,2022-11,2022,11,3.21408257522746,-9.102466060181914,4
GL086613E27789N,2022-12,2022,12,0.1567396003421472,-10.632295777933258,4
GL086613E27789N,2023-01,2023,1,-1.085566285669828,-12.279839281548844,4
GL086613E27789N,2023-02,2023,2,2.096055283415005,-10.936128761371569,4
GL086613E27789N,2023-03,2023,3,-1.2621789129927408,-14.590730580825728,4
GL086613E27789N,2023-04,2023,4,3.960817821320301,-10.003307207837617,3
GL086613E27789N,2023-05,2023,5,2.786454163750904,-8.40715348728712,4
GL086613E27789N,2023-06,2023,6,6.252429515589797,-1.788139958012567,4
GL086613E27789N,2023-07,2023,7,0.1565702511469059,-6.158824741466421,4
GL086613E27789N,2023-08,2023,8,1.7802114143535,-2.5965536116942416,4
GL086613E27789N,2023-09,2023,9,3.531885778710859,-3.0061712153020483,4
GL086613E27789N,2023-10,2023,10,4.072548790918308,-7.357662234662906,3
GL086613E27789N,2023-11,2023,11,2.456750796983157,-10.0966295777933,4
GL086613E27789N,2023-12,2023,12,-2.0539104268719104,-11.742911593188682,4
GL086613E27789N,2024-01,2024,1,-4.7436336987792265,-15.24978275406264,4
GL086613E27789N,2024-02,2024,2,-3.809408988414555,-14.461919990669433,4
GL086613E27789N,2024-03,2024,3,1.3062228442578625,-11.373785630977336,4
GL086613E27789N,2024-04,2024,4,6.002332633543299,-7.71851644506645,4
GL086613E27789N,2024-05,2024,5,5.178937407666616,-4.803062747842289,3
GL086613E27789N,2024-06,2024,6,6.035827151854472,-1.7285389161029183,4
GL086613E27789N,2024-07,2024,7,1.817813000544308,-1.3674931187310202,4
GL086613E27789N,2024-08,2024,8,3.73143892387842,-2.658974496539899,4
