GL_ID,date,year,month,GPM_Precipitation_mm,GPM_Scan_Count
GL086894E27885N,2020-12,2020,12,5.920785584311642,1488
GL086894E27885N,2021-01,2021,1,5.907831005008239,1488
GL086894E27885N,2021-02,2021,2,17.48698007938295,1344
GL086894E27885N,2021-03,2021,3,27.86619404163937,1488
GL086894E27885N,2021-04,2021,4,43.95746018704899,1440
GL086894E27885N,2021-05,2021,5,143.91333438962843,1488
GL086894E27885N,2021-06,2021,6,160.50850935941926,1440
GL086894E27885N,2021-07,2021,7,363.8048877167794,1488
GL086894E27885N,2021-08,2021,8,290.3415192656413,1488
GL086894E27885N,2021-09,2021,9,151.29547023727233,1440
GL086894E27885N,2021-10,2021,10,151.4456397172112,1488
GL086894E27885N,2021-11,2021,11,5.621032332656785,1440
GL086894E27885N,2021-12,2021,12,8.880993326206681,1488
GL086894E27885N,2022-01,2022,1,3.4066492925918146,1488
GL086894E27885N,2022-02,2022,2,19.685538394751585,1344
GL086894E27885N,2022-03,2022,3,39.44992104315429,1488
GL086894E27885N,2022-04,2022,4,51.259408008041135,1440
GL086894E27885N,2022-05,2022,5,106.31543893235217,1488
GL086894E27885N,2022-06,2022,6,221.72029349871903,1440
GL086894E27885N,2022-07,2022,7,272.1849812162653,1488
GL086894E27885N,2022-08,2022,8,208.8875153514908,1488
GL086894E27885N,2022-09,2022,9,168.38268451479735,1440
GL086894E27885N,2022-10,2022,10,78.50051102753392,1488
GL086894E27885N,2022-11,2022,11,2.1156688080798207,1440
GL086894E27885N,2022-12,2022,12,5.190512860332943,1488
GL086894E27885N,2023-01,2023,1,7.181129718737607,1488
GL086894E27885N,2023-02,2023,2,7.607519252975654,1344
GL086894E27885N,2023-03,2023,3,50.32362191472203,1488
GL086894E27885N,2023-04,2023,4,40.53605718511557,1440
GL086894E27885N,2023-05,2023,5,42.10480428476178,1488
GL086894E27885N,2023-06,2023,6,113.54098428479796,1440
GL086894E27885N,2023-07,2023,7,303.2579602840321,1488
GL086894E27885N,2023-08,2023,8,340.93758301139366,1488
GL086894E27885N,2023-09,2023,9,135.53311391611427,1440
GL086894E27885N,2023-10,2023,10,59.0507126985384,1488
GL086894E27885N,2023-11,2023,11,6.0113634520464325,1440
GL086894E27885N,2023-12,2023,12,12.151882846114022,1488
GL086894E27885N,2024-01,2024,1,6.101298616340312,1488
GL086894E27885N,2024-02,2024,2,17.62844115842811,1392
GL086894E27885N,2024-03,2024,3,28.19941510071421,1488
GL086894E27885N,2024-04,2024,4,25.1007134547312,1440
GL086894E27885N,2024-05,2024,5,82.39006282245234,1488
GL086894E27885N,2024-06,2024,6,131.59408769809775,1440
GL086894E27885N,2024-07,2024,7,336.13739420278847,1488
GL086894E27885N,2024-08,2024,8,241.4508380397017,1488
GL086894E27885N,2024-09,2024,9,284.5331091371958,1440
GL086894E27885N,2024-10,2024,10,58.00818041062539,1488
GL086894E27885N,2024-11,2024,11,7.030973850193059,1440
GL086894E27885N,2024-12,2024,12,5.303701180892139,1488
GL086894E27885N,2025-01,2025,1,8.028311457763147,1488
GL086894E27885N,2025-02,2025,2,8.810324408730807,1344
GL086894E27885N,2025-03,2025,3,21.94551889857205,1488
GL086894E27885N,2025-04,2025,4,46.95980425944625,1440
GL086894E27885N,2025-05,2025,5,73.97954385374467,1488
GL086894E27885N,2025-06,2025,6,206.3480468903753,1440
GL086894E27885N,2025-07,2025,7,263.67051338649947,1488
GL086894E27885N,2025-08,2025,8,238.95700747974507,1488
GL086894E27885N,2025-09,2025,9,186.8805153157756,1440
GL086894E27885N,2025-10,2025,10,184.410709747706,1488
GL086894E27885N,2025-11,2025,11,0.4294155800424807,1440
GL086894E27885N,2025-12,2025,12,8.221493359510001,1488
GL086897E27886N,2015-01,2015,1,10.296480876102576,1488
GL086897E27886N,2015-02,2015,2,5.085024863143916,1344
GL086897E27886N,2015-03,2015,3,22.029511834797447,1488
GL086897E27886N,2015-04,2015,4,32.228117926605044,1440
GL086897E27886N,2015-05,2015,5,76.83600472195538,1488
GL086897E27886N,2015-06,2015,6,215.3050766001688,1440
GL086897E27886N,2015-07,2015,7,252.28875064982563,1488
GL086897E27886N,2015-08,2015,8,311.4970677528996,1488
GL086897E27886N,2015-09,2015,9,143.28872173822018,1440
GL086897E27886N,2015-10,2015,10,41.58326161145232,1488
GL086897E27886N,2015-11,2015,11,4.123174884694162,1440
GL086897E27886N,2015-12,2015,12,1.1556874704430808,1488
GL086897E27886N,2016-01,2016,1,13.551212160952856,1488
GL086897E27886N,2016-02,2016,2,10.545412141480483,1392
GL086897E27886N,2016-03,2016,3,19.261780778644603,1488
GL086897E27886N,2016-04,2016,4,32.4380243562744,1440
GL086897E27886N,2016-05,2016,5,75.81336080996552,1488
GL086897E27886N,2016-06,2016,6,291.7964867585221,1440
GL086897E27886N,2016-07,2016,7,345.2903044010396,1488
GL086897E27886N,2016-08,2016,8,218.1526068703853,1488
GL086897E27886N,2016-09,2016,9,313.2428801671135,1440
GL086897E27886N,2016-10,2016,10,65.03906110096723,1488
GL086897E27886N,2016-11,2016,11,2.4504374327720138,1440
GL086897E27886N,2016-12,2016,12,1.8426874489756293,1488
GL086897E27886N,2017-01,2017,1,12.755612247507088,1488
GL086897E27886N,2017-02,2017,2,9.215387270622886,1344
GL086897E27886N,2017-03,2017,3,22.08821213854244,1488
GL086897E27886N,2017-04,2017,4,50.57571756744291,1440
GL086897E27886N,2017-05,2017,5,107.8668037086958,1488
GL086897E27886N,2017-06,2017,6,138.76755303740495,1440
GL086897E27886N,2017-07,2017,7,276.78069331733275,1488
GL086897E27886N,2017-08,2017,8,305.12885550104545,1488
GL086897E27886N,2017-09,2017,9,144.4444778162171,1440
GL086897E27886N,2017-10,2017,10,70.39830479430967,1488
GL086897E27886N,2017-11,2017,11,6.01566231570905,1440
GL086897E27886N,2017-12,2017,12,5.317906091769691,1488
GL086897E27886N,2018-01,2018,1,6.048212422651703,1488
GL086897E27886N,2018-02,2018,2,10.897274775535331,1344
GL086897E27886N,2018-03,2018,3,19.399074639310125,1488
GL086897E27886N,2018-04,2018,4,36.41537413632031,1440
GL086897E27886N,2018-05,2018,5,60.46216742448741,1488
GL086897E27886N,2018-06,2018,6,117.81789099294691,1440
GL086897E27886N,2018-07,2018,7,291.983449665131,1488
GL086897E27886N,2018-08,2018,8,254.03792499448173,1488
GL086897E27886N,2018-09,2018,9,131.73248473678248,1440
GL086897E27886N,2018-10,2018,10,24.91929951716447,1488
GL086897E27886N,2018-11,2018,11,5.787424807460046,1440
GL086897E27886N,2018-12,2018,12,7.989799821737687,1488
GL086897E27886N,2019-01,2019,1,3.434799910720902,1488
GL086897E27886N,2019-02,2019,2,6.4668122501694585,1344
GL086897E27886N,2019-03,2019,3,22.682530877098905,1488
GL086897E27886N,2019-04,2019,4,72.8481106044608,1440
GL086897E27886N,2019-05,2019,5,60.24129867174197,1488
GL086897E27886N,2019-06,2019,6,85.92788569229889,1440
GL086897E27886N,2019-07,2019,7,312.19425466019885,1488
GL086897E27886N,2019-08,2019,8,216.77164498941272,1488
GL086897E27886N,2019-09,2019,9,229.8529885692172,1440
GL086897E27886N,2019-10,2019,10,27.313799385726444,1488
GL086897E27886N,2019-11,2019,11,2.2886624259583184,1440
GL086897E27886N,2019-12,2019,12,15.316174626327118,1488
GL086897E27886N,2020-01,2020,1,1.9769499377114688,1488
GL086897E27886N,2020-02,2020,2,11.061712295573669,1392
GL086897E27886N,2020-03,2020,3,28.3390307431342,1488
GL086897E27886N,2020-04,2020,4,65.61432343859924,1440
GL086897E27886N,2020-05,2020,5,84.1727106456179,1488
GL086897E27886N,2020-06,2020,6,240.0268691816716,1440
GL086897E27886N,2020-07,2020,7,300.8104741053423,1488
GL086897E27886N,2020-08,2020,8,294.24809956515674,1488
GL086897E27886N,2020-09,2020,9,239.93937583281647,1440
GL086897E27886N,2020-10,2020,10,29.292049309529823,1488
GL086897E27886N,2020-11,2020,11,4.870131147257052,1440
GL086897E27886N,2020-12,2020,12,5.947106120805255,1488
GL086897E27886N,2021-01,2021,1,5.951274835143703,1488
GL086897E27886N,2021-02,2021,2,17.5665745567996,1344
GL086897E27886N,2021-03,2021,3,27.95634924479528,1488
GL086897E27886N,2021-04,2021,4,43.44684918012936,1440
GL086897E27886N,2021-05,2021,5,144.16124044909373,1488
GL086897E27886N,2021-06,2021,6,160.86654635277807,1440
GL086897E27886N,2021-07,2021,7,363.9575353345251,1488
