GL_ID,date,year,month,ERA5_temp_K,ERA5_temp_C
GL086862E27829N,2019-04,2019,4,267.44884599049885,-5.701154009501124
GL086862E27829N,2019-05,2019,5,270.95898295987035,-2.1910170401296227
GL086862E27829N,2019-06,2019,6,275.35420466529,2.204204665290036
GL086862E27829N,2019-07,2019,7,276.4742544440813,3.324254444081305
GL086862E27829N,2019-08,2019,8,276.6075023528068,3.4575023528068414
GL086862E27829N,2019-09,2019,9,274.99480622609457,1.8448062260945903
GL086862E27829N,2019-10,2019,10,270.44371842825285,-2.7062815717471267
GL086862E27829N,2019-11,2019,11,266.90369714101155,-6.246302858988429
GL086862E27829N,2019-12,2019,12,259.4526077188471,-13.697392281152872
GL086862E27829N,2020-01,2020,1,256.0126223820512,-17.1373776179488
GL086862E27829N,2020-02,2020,2,259.1607052156295,-13.989294784370486
GL086862E27829N,2020-03,2020,3,261.717952646235,-11.432047353764972
GL086862E27829N,2020-04,2020,4,266.0351258383857,-7.114874161614296
GL086862E27829N,2020-05,2020,5,270.6655411463912,-2.4844588536087717
GL086862E27829N,2020-06,2020,6,275.5836654663086,2.4336654663086392
GL086862E27829N,2020-07,2020,7,276.79888231010847,3.6488823101084895
GL086862E27829N,2020-08,2020,8,277.16998621212537,4.019986212125389
GL086862E27829N,2020-09,2020,9,275.8460389667087,2.696038966708727
GL086862E27829N,2020-10,2020,10,272.5563219952327,-0.5936780047672983
GL086862E27829N,2020-11,2020,11,265.28494175804985,-7.865058241950123
GL086862E27829N,2020-12,2020,12,263.22910852329704,-9.920891476702934
GL086862E27829N,2021-01,2021,1,263.9925045710738,-9.157495428926154
GL086862E27829N,2021-02,2021,2,262.5009261312939,-10.649073868706068
GL086862E27829N,2021-03,2021,3,265.4339139179517,-7.716086082048264
GL086862E27829N,2021-04,2021,4,266.1124928792317,-7.037507120768225
GL086862E27829N,2021-05,2021,5,271.73900040247105,-1.410999597528928
GL086862E27829N,2021-06,2021,6,275.7779836654663,2.6279836654663318
